horaire,titre,artiste
2023-05-09 23:07:00,ELECTRIC RELAXATION,A TRIBE CALLED QUEST
2023-05-09 23:10:00,MADISON,DRUGDEALER
2023-05-09 23:14:00,ELA,GILBERTO GIL
2023-05-09 23:16:00,LE DIRECT,LA RADIO LA PLUS ECLECTIQUE DU MONDE
2023-05-09 23:17:00,QUINTESSENCIA,ZUMBA 5
2023-05-09 23:19:00,BEWITCHED,PEGGY LEE
2023-05-09 23:22:00,LE PIANO DE MAUVAISE VIE,CLAUDE NOUGARO
2023-05-09 23:23:00,LE DIRECT,LA RADIO LA PLUS ECLECTIQUE DU MONDE
2023-05-09 23:24:00,LES NOCES DE FIGARO K 492 : UN MOTO DI GIOIA K 579  AIR DE SUSANNE,CHEN REISS  L ARTE DEL MONDO
2023-05-09 23:25:00,SOME BLUE AND YELLOW ,LIMOUSINE  MALIK DJOUDI  LAURENT BARDAINNE  DAVID AKNIN  MAXIME DELPIERRE
2023-05-09 23:29:00,MARIA TAMBIEN,KHRUANGBIN
2023-05-09 23:33:00,FIGHTING YOUR SHADOW,HANNAH WILLIAMS AND THE AFFIRMATIONS
2023-05-09 23:36:00,TENDERNESS,DIANA ROSS
2023-05-09 23:39:00,TULSA TURNAROUND,KENNY ROGERS  THE FIRST EDITION
2023-05-09 23:43:00,LA PENOMBRE,ESMERINE
2023-05-09 23:47:00,MON PETIT CHEMIN,VANILLE  ALEXANDRE MARTEL  LOU-ADRIANE CASSIDY
2023-05-09 23:50:00,I HOPE TO BE AROUND ,MEN I TRUST
2023-05-09 23:54:00,THREE IMAGINARY BOYS,THE CURE
2023-05-09 23:57:00,HONEYCOMB,KADHJA BONET
2023-05-10 07:00:00,"LONDON, LONDON",ROSINHA DE VALENCA
2023-05-10 07:03:00,ZORONGO / POUR VOIX ET GUITARE,FRANCOISE ATLAN  JUAN CARMONA
2023-05-10 07:05:00,LE DIRECT,LA RADIO LA PLUS ECLECTIQUE DU MONDE
2023-05-10 07:06:00,LE BOIS,VANILLE  ALEXANDRE MARTEL  LOU-ADRIANE CASSIDY
2023-05-10 07:09:00,COME ALONG WITH ME : ISLAND SONG,ASHLEYC ERIKSSON
2023-05-10 07:10:00,DISTANT STARS,LAKE
2023-05-10 07:13:00,ANOTHER BROTHER GONE,TOMMY GUERRERO
2023-05-10 07:15:00,LET'S STAY TOGETHER,AL GREEN
2023-05-10 07:19:00,THE TOKYO TASTE,SADISTICUS
2023-05-10 07:22:00,MY TIME,GREGORY ISAACS
2023-05-10 07:25:00,LE DIRECT,LA RADIO LA PLUS ECLECTIQUE DU MONDE
2023-05-10 07:26:00,CHILLED ROOM,BLUEWERKS
2023-05-10 07:28:00,BORDERLINE,ALFA MIST  ALFA SEKITOLEKO  JASMINE KAYSER  KAYA THOMAS-DYKE  JUNIOR ALLI-BALOGUN
2023-05-10 07:30:00,DEED I DO,BLOSSOM DEARIE
2023-05-10 07:33:00,KING OF THE ROAD,ROGER MILLER
2023-05-10 07:35:00,20200324,MAC DEMARCO
2023-05-10 07:38:00,SOLEIL SOLEIL,VOYOU
2023-05-10 07:41:00,DEBAJO DEL PLATANERO,JEANETTE
2023-05-10 07:43:00,I LOVE YOU,WELDON IRVINE
2023-05-10 07:46:00,STARTING TO SMILE,SILVAN STRAUSS
2023-05-10 07:48:00,LISTEN,BLOOM BAT
2023-05-10 07:52:00,YOU'RE NOT FREE,FRAZEY FORD
2023-05-10 07:56:00,RAINMAKER,BOBBIE GENTRY
2023-05-10 07:59:00,AFRIKAAN BEAT,BERT KAEMPFERT
2023-05-10 08:01:00,FIORIN FIORELLO,LUCIANO PAVAROTTI  ORCHESTRE DU THEATRE COMMUNAL DE BOLOGNE  CHOEUR DU THEATRE COMMUNAL DE BOLOGNE
